"uri","title","popularity","base_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","n_artists","n_genres","followers"
"09TaitRRTpff4RptRt1JLH","Ti prometto che un giorno partiremo",4.17113587899938,60,0.425,0.389,7,-7.291,0,0.0879,0.672,0.000198,0.131,0.154,172.277,129680,4,2,2,267436
"09fva4zYdX7KZYhfZKYw1n","Bambina",1.17812175628563,58,0.733,0.602,8,-9.185,0,0.168,0.0561,0,0.135,0.262,104.111,156001,4,1,1,28132
"09gysnJpfQ3ublBmJDfcEC","SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",3.68113015004574,79.66666667,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,204764,4,3,1,2442817
"09mEdoA6zrmBPgTEN5qXmN","Call Out My Name",1.48349730839272,97,0.461,0.593,1,-4.954,1,0.0356,0.17,0,0.307,0.175,134.17,228373,3,1,1,40135257
"09u787BYeYIGd2mFIJ505t","Cry Your Heart Out",4.01999604058205,96,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-06,0.248,0.59,125.064,255278,4,1,1,32617041
"09uENV2Gb8wgrsGwFxFkZM","T",-0.505316669803312,8,0.188,0.102,0,-19.792,1,0.0394,0.952,0.988,0.11,0.0912,43.094,60029,4,1,1,50
"0A2Sy2b9oyrc6OUxUiXgjb","La miglior vendetta",2.66324573469166,51,0.647,0.715,9,-6.939,0,0.0852,0.493,0,0.44,0.618,87.998,204336,4,1,1,251556
"0A85tPJ5uRYudixySOsfIV","LORO",2.80724523301312,82,0.57,0.606,2,-6.731,1,0.193,0.408,7.13e-06,0.253,0.536,93.089,198187,4,1,1,1518528
"0ADChEFXcXBcBDFYUE0BsR","Questo immenso - 2017 Remaster",2.45499634403911,62,0.553,0.394,7,-9.73,1,0.0243,0.26,0.177,0.625,0.231,82.896,303893,4,1,1,665837
"0ADG9OgdVTL7fgREP75BrZ","Ain't My Fault",2.13312454395161,79,0.576,0.782,6,-4.825,0,0.0296,0.00778,0,0.285,0.355,141.153,224031,4,1,1,9582645
"0AGOXOfcDIRXwZtny26RDd","Je ne sais pas (feat. Sfera Ebbasta)",1.39014090888383,68,0.702,0.447,4,-10.107,0,0.0444,0.129,3.47e-06,0.121,0.231,124.979,194053,4,3,2,4602336
"0AH6WMe3OlAlUb5miXt2FQ","Only Girl (In The World)",2.19771216819262,91,0.789,0.716,11,-4.241,0,0.0432,0.129,1.07e-05,0.069,0.611,125.906,235493,4,1,1,46444731
"0AKJzRPHPtoeHTtZs9ATFf","DIMMI ORA (feat. Guè)",1.43730132948295,76.5,0.645,0.745,4,-4.635,0,0.0373,0.189,0.000187,0.111,0.436,142.349,163180,4,2,2,1778304
"0AKOYwbGQUldCiepDc4IKr","Sempre bene",1.46428947261638,67,0.438,0.525,2,-7.776,1,0.0767,0.161,0,0.0907,0.411,174.15,215431,3,1,1,435006
"0AOmbw8AwDnwXhHC3OhdVB","Courtesy Call",3.83606265901196,69,0.531,0.638,11,-5.145,0,0.0809,0.00409,0,0.0822,0.445,164.079,236898,4,1,1,1086125
"0AQM2u3y5mOBaAnyP9LhSO","Buste Della Spesa",0.930447777715697,73,0.643,0.674,3,-5.831,0,0.26,0.0252,0,0.0909,0.474,159.976,194133,4,1,1,1268368
"0AQgJrBY3l12K49HTvnT99","Bancomat",0.786682558273708,80,0.79,0.563,6,-6.895,1,0.172,0.045,0,0.0653,0.708,134.068,188707,4,1,1,4602336
"0ARK753YaiJbpLUk7z5yIM","Dilemma",4.2875840845387,75,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4,2,1,2931249
"0AUyNF6iFxMNQsNx2nhtrw","Blood // Water",3.17145381452187,75,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,216721,4,1,1,964771
"0AZYhsESBrtRq88nxq6GMZ","Me and My Brother",11.3045027541651,58,0.766,0.535,0,-7.607,0,0.0691,0.599,0,0.1,0.389,130.053,212532,4,1,1,41259
